h0dn_row_1based	name	official_row_1based	official_CID	IDSURVEY	h0dn_err_m_b	official_m_b_corr_err_DIAG	official_STAT_SYS_diagonal	official_STAT_SYS_diagonal_sqrt	catalog_vs_matrix_absolute_difference	catalog_vs_matrix_within_tolerance	h0dn_vs_matrix_absolute_difference	h0dn_vs_matrix_within_tolerance
135	2008hj	561	2008hj	5	0.11063000000000001	0.154255	0.012238239999999999	0.11062657908477509	0.043628420915224911	NO	3.4209152249137231e-06	YES
136	2008hj	562	2008hj	65	0.13028000000000001	0.18312899999999999	0.016972589999999999	0.1302788931485066	0.052850106851493384	NO	1.1068514934042817e-06	YES
137	2002hu	568	2002hu	63	0.11859	0.16436200000000001	0.014064470000000001	0.11859371821475201	0.045768281785248	NO	3.7182147520076203e-06	YES
138	2000cf	569	2000cf	62	0.11672	0.164133	0.013622479999999999	0.11671538030611046	0.047417619693889537	NO	4.6196938895404216e-06	YES
139	2001eh	570	2001eh	57	0.094167000000000001	0.13249	0.0088673299999999997	0.094166501474781353	0.038323498525218644	NO	4.98525218647905e-07	YES
140	2001eh	571	2001eh	63	0.10428	0.14671100000000001	0.01087376	0.10427732255864647	0.04243367744135354	NO	2.6774413535296526e-06	YES
141	ASASSN-16db	572	ASASSN-16db	150	0.13605	0.18775900000000001	0.018509020000000001	0.13604785922608265	0.051711140773917363	NO	2.1407739173584517e-06	YES
142	AT2016hns	573	AT2016hns	150	0.11854000000000001	0.16144	0.01405084	0.11853623918447893	0.042903760815521066	NO	3.760815521072769e-06	YES
143	ASASSN-15bc	574	ASASSN-15bc	150	0.19275	0.26121699999999998	0.037152780000000003	0.19275056420150891	0.068466435798491071	NO	5.642015089013519e-07	YES
144	2007jg	575	2007jg	51	0.12526999999999999	0.16910600000000001	0.01569191	0.1252673540871683	0.043838645912831709	NO	2.6459128316946856e-06	YES
145	2007jg	576	2007jg	5	0.12576000000000001	0.16920099999999999	0.015814620000000001	0.1257561926904596	0.043444807309540395	NO	3.8073095404156376e-06	YES
146	2008gb	579	2008gb	65	0.14141999999999999	0.19703399999999999	0.019998709999999999	0.14141679532502496	0.055617204674975024	NO	3.2046749750269665e-06	YES
147	2007O	580	2007O	57	0.10682999999999999	0.14930199999999999	0.01141268	0.10683014555826459	0.042471854441735402	NO	1.4555826459428101e-07	YES
148	2007O	581	2007O	64	0.10764	0.15029699999999999	0.01158531	0.10763507792536781	0.04266192207463218	NO	4.9220746321937403e-06	YES
149	2008fr	582	2008fr	65	0.16997999999999999	0.23460400000000001	0.02889218	0.1699769984439071	0.064627001556092911	NO	3.0015560928964291e-06	YES
150	2009bv	585	2009bv	65	0.10846	0.14752399999999999	0.011763289999999999	0.10845870181778869	0.0390652981822113	NO	1.2981822113122821e-06	YES
151	2008051	586	2008051	65	0.12592999999999999	0.16819700000000001	0.015857980000000001	0.12592847176075792	0.042268528239242098	NO	1.5282392420712387e-06	YES
152	ASASSN-15np	587	ASASSN-15np	150	0.15787000000000001	0.21784000000000001	0.024924310000000002	0.15787434877142012	0.059965651228579886	NO	4.3487714201095873e-06	YES
153	2008dr	591	2008dr	57	0.10528999999999999	0.14541499999999999	0.011085569999999999	0.10528803350808676	0.040126966491913232	NO	1.9664919132383885e-06	YES
154	PS15cze	592	PS15cze	150	0.17041999999999999	0.23307600000000001	0.029043380000000001	0.17042118412920385	0.06265481587079616	NO	1.1841292038572426e-06	YES
155	2003fa	593	2003fa	57	0.10542	0.14091000000000001	0.01111331	0.10541968506877641	0.035490314931223593	NO	3.1493122358561276e-07	YES
156	2003fa	594	2003fa	63	0.10578	0.14244399999999999	0.01118911	0.10577858951602635	0.036665410483973634	NO	1.4104839736461816e-06	YES
157	PS16axi	596	PS16axi	150	0.12015000000000001	0.166662	0.01443588	0.12014940698979749	0.04651259301020251	NO	5.930102025125672e-07	YES
158	2009do	598	2009do	65	0.10398	0.14474899999999999	0.010811650000000001	0.10397908443528439	0.040769915564715598	NO	9.1556471561171637e-07	YES
159	2001az	599	2001az	63	0.10580000000000001	0.14835699999999999	0.01119391	0.10580127598474415	0.042555724015255841	NO	1.2759847441423666e-06	YES
160	1992bl	601	1992bl	50	0.14934	0.20628199999999999	0.02230298	0.14934182267536444	0.056940177324635549	NO	1.8226753644434712e-06	YES
161	2014bj	602	2014bj	51	0.30253000000000002	0.42563099999999998	0.091521400000000003	0.30252504028592409	0.1231059597140759	NO	4.9597140759360947e-06	YES
162	2006cf	603	2006cf	64	0.10766000000000001	0.14858399999999999	0.011591560000000001	0.10766410729672168	0.04091989270327831	NO	4.1072967216781997e-06	YES
