CID_a	CID_b	h0dn_row_a_1based	h0dn_row_b_1based	source_directory_a	source_directory_b	observation_count_a	observation_count_b	observation_pair_opportunity_count	rounding_compatible_edge_count	mutual_unique_rounding_compatible_match_count	negative_control_pair_classification
2009cz	2008ar	1	66	SWIFT	KAIT_DS15	70	72	5040	0	0	CROSS_CID_ZERO
2009cz	2008ar	1	67	SWIFT	CSPDR3_anthony	70	132	9240	0	0	CROSS_CID_ZERO
2009cz	2008ar	2	66	CSPDR3_anthony	KAIT_DS15	83	72	5976	0	0	CROSS_CID_ZERO
2009cz	2008ar	2	68	CSPDR3_anthony	PS1_LOWZ_COMBINED_TEXT_DS17	83	104	8632	0	0	CROSS_CID_ZERO
2009cz	2008bz	1	204	SWIFT	CSPDR3_anthony	70	70	4900	0	0	CROSS_CID_ZERO
2009cz	2008bz	2	205	CSPDR3_anthony	PS1_LOWZ_COMBINED_TEXT_DS17	83	43	3569	0	0	CROSS_CID_ZERO
2009cz	2008cf	1	177	SWIFT	CSPDR3_anthony	70	96	6720	0	0	CROSS_CID_ZERO
2009cz	2008cf	2	178	CSPDR3_anthony	PS1_LOWZ_COMBINED_TEXT_DS17	83	31	2573	0	0	CROSS_CID_ZERO
2009cz	2008gg	1	88	SWIFT	CSPDR3_anthony	70	198	13860	0	0	CROSS_CID_ZERO
2009cz	2008gg	2	87	CSPDR3_anthony	LOSS	83	55	4565	0	0	CROSS_CID_ZERO
2009cz	2008hj	1	135	SWIFT	CSPDR3_anthony	70	127	8890	0	0	CROSS_CID_ZERO
2009cz	2008hj	2	136	CSPDR3_anthony	PS1_LOWZ_COMBINED_TEXT_DS17	83	16	1328	0	0	CROSS_CID_ZERO
2009cz	2009D	1	20	SWIFT	CSPDR3_anthony	70	176	12320	0	0	CROSS_CID_ZERO
2009cz	2009D	2	21	CSPDR3_anthony	LOSS	83	11	913	0	0	CROSS_CID_ZERO
2009cz	2009D	2	22	CSPDR3_anthony	PS1_LOWZ_COMBINED_TEXT_DS17	83	68	5644	0	0	CROSS_CID_ZERO
2009cz	2009ad	1	65	SWIFT	CSPDR3_anthony	70	128	8960	0	0	CROSS_CID_ZERO
2009cz	2009ad	2	64	CSPDR3_anthony	PS1_LOWZ_COMBINED_TEXT_DS17	83	74	6142	0	0	CROSS_CID_ZERO
