target_h0dn_row_1based	target_CID	target_IDSURVEY	target_survey_label	path	source_directory	SNID	SURVEY	git_blob_sha1	sha256	used_by_other_main_row
120	2006gr	57	LOSS2	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2006gr.DAT	CfA3_DJ20	2006gr	PS1_LOWZ_COMBINED(CFA3K)	0ff383a204bcb6934596db29afb1e0dbb2263b50	1770b213c2b4bb5b726aeedb09f7af3713f186c371bd76650b0958a37324b54a	true
120	2006gr	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2006gr.dat	KAIT_DS15	2006gr	KAITM	70793df9c25eba03baf21bbb0daae09a94e369e4	f7a151b949f816b775cfc53f74445f07cf2ef27718265776a9173b0fa30879b9	false
136	2008hj	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008hj.DAT	CSPDR3_anthony	2008hj	CSP	e3aeea808ea4e48e6814b4702b7cb2300906a1dc	bd1de6b261704125153c7daf55a9c2628b795fcff53fa8253d758dcd8551297e	true
136	2008hj	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008hj.dat	PS1_LOWZ_COMBINED_TEXT_DS17	2008hj	PS1_LOWZ_COMBINED(CFA4p1)	83694c046aac050a5b3e6a2163b251c5edf4a9f5	6cdc0d9c7143c4b1200f05ac67f8495f1e97e190717e3a77093741eccbe79813	false
139	2001eh	57	LOSS2	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_4SHOOTER2_2001eh.DAT	CfA3_DJ20	2001eh	PS1_LOWZ_COMBINED(CFA3S)	b25e124b2e0434027bf6571f4307903ab0be9a3d	b31ab0d4f1121ff34bbb4d1164fcc6452217a619b8d412264758797faaa8b61d	true
139	2001eh	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2001eh.dat	KAIT_DS15	2001eh	KAITM	a4f64a002eebe4eaf6aab065f01526ffce15c27f	6031f5d66ae3d96813e40f6859954fb20378b377fb865190028450205fa96110	false
144	2007jg	51	LOSS1	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2007jg.DAT	CSPDR3_anthony	2007jg	CSP	d1a13a1733002d32c21d0b808cea0de36f46ecaa	20d5be9f9ed65842a17ac2472ccec7be59a7ba5769c773dae78e031ec5434fc1	true
144	2007jg	51	LOSS1	Pantheon+_Data/1_DATA/photometry/LOSS/2007jg.dat	LOSS	2007jg	KAIT	bd79fe8cd803b74695337afb45144a4a86743273	c6ddb2607f3046aaf407175e44b5031e4f9abc464e934532c8c1105abc9e3320	false
147	2007O	57	LOSS2	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007O.DAT	CfA3_DJ20	2007O	PS1_LOWZ_COMBINED(CFA3K)	100ed935eb04f260a03d99c46455729d868ed7a7	b2b735372a425fe1c5a45cc48f35aa92df5afaf1decc770085854a2a694b4057	true
147	2007O	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2007O.dat	KAIT_DS15	2007O	KAITM	7c9404d8fa9f3e0d371774d84bf4711929d5b27f	0f1bd4f2303fc52ce27c4a7050b64c01dc6e45cf0c8938f315c49dfd8ee829bf	false
155	2003fa	57	LOSS2	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_4SHOOTER2_2003fa.DAT	CfA3_DJ20	2003fa	PS1_LOWZ_COMBINED(CFA3S)	789dd0dc816321c56b831b19502d330f0527e46b	817a02656cd4743687b442ca777fc81ee7a5eddf5e6d9ce10dc469488f54de29	true
155	2003fa	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2003fa.dat	KAIT_DS15	2003fa	KAITM	575d235da3a9d3c600c0a506414bd1793939c91f	f059869260875230ad311c0d996e4a979678f520b89cf911885f24634de1b0f2	false
163	2007kk	51	LOSS1	Pantheon+_Data/1_DATA/photometry/LOSS/2007kk.dat	LOSS	2007kk	KAIT	d7466bd3efa6bf78e476ba3d0839bbf67bd464fe	0f7fb8dd02c00e6edc4405dbb63fbd88af750ea9539557d7604efdc02e0b2423	false
163	2007kk	51	LOSS1	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2007kk.dat	PS1_LOWZ_COMBINED_TEXT_DS17	2007kk	PS1_LOWZ_COMBINED(CFA4p1)	eac72482e9ae4b09fd0a8f5cc5a43923e5b96f65	53b76c370e2be537574982b2628dfd1dcb4d0bc96124d472da6bfc3f1ebad4a2	false
164	2007kk	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/LOSS/2007kk.dat	LOSS	2007kk	KAIT	d7466bd3efa6bf78e476ba3d0839bbf67bd464fe	0f7fb8dd02c00e6edc4405dbb63fbd88af750ea9539557d7604efdc02e0b2423	false
164	2007kk	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2007kk.dat	PS1_LOWZ_COMBINED_TEXT_DS17	2007kk	PS1_LOWZ_COMBINED(CFA4p1)	eac72482e9ae4b09fd0a8f5cc5a43923e5b96f65	53b76c370e2be537574982b2628dfd1dcb4d0bc96124d472da6bfc3f1ebad4a2	false
178	2008cf	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008cf.DAT	CSPDR3_anthony	2008cf	CSP	0ace2b20455ea785f0e1f8535c7e450028cff54e	1b454580ee2ed6de40ba6e66f3797ed5021eb247d6878e075e6015c781664b8f	true
178	2008cf	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008cf.dat	PS1_LOWZ_COMBINED_TEXT_DS17	2008cf	PS1_LOWZ_COMBINED(CFA4p1)	c31ac48a1b3613f762e8a2a4109dfd5361ec704c	f7513ddc199641fab4b0ad65d9c1f446d1094a4e9efaa2580cdaecd075fe068c	false
205	2008bz	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008bz.DAT	CSPDR3_anthony	2008bz	CSP	0f42bac3ecee8c3866e2405611e53b5b8eea1978	646320fec71072f58670d0439e3f525fa569a2f7e1247460b024035c65bd9a1e	true
205	2008bz	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008bz.dat	PS1_LOWZ_COMBINED_TEXT_DS17	2008bz	PS1_LOWZ_COMBINED(CFA4p1)	4f39b2e479a9faded7a72324bdcbe9a6251368ed	df4ba44e7f7b064fe577674a33d2f57cfb64e8116f548bf0451372e221f3d5e2	false
213	2008Y	51	LOSS1	Pantheon+_Data/1_DATA/photometry/LOSS/2008Y.dat	LOSS	2008Y	KAIT	4cae28aec074f330b75f6b840e40d65b1930b8b2	bc6ef8fb1b8c5652dbb1962e60610d9c6648d7c4451583605f03b6529a8c6257	false
213	2008Y	51	LOSS1	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008Y.dat	PS1_LOWZ_COMBINED_TEXT_DS17	2008Y	PS1_LOWZ_COMBINED(CFA4p1)	9bc7b316f4b499c971368a2fb581f3488a7abb74	3eef31c4cf82481e0fc7d8424b35a90ce5349b81de212bedcb8f9e8e348b3bd9	false
214	2008Y	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/LOSS/2008Y.dat	LOSS	2008Y	KAIT	4cae28aec074f330b75f6b840e40d65b1930b8b2	bc6ef8fb1b8c5652dbb1962e60610d9c6648d7c4451583605f03b6529a8c6257	false
214	2008Y	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008Y.dat	PS1_LOWZ_COMBINED_TEXT_DS17	2008Y	PS1_LOWZ_COMBINED(CFA4p1)	9bc7b316f4b499c971368a2fb581f3488a7abb74	3eef31c4cf82481e0fc7d8424b35a90ce5349b81de212bedcb8f9e8e348b3bd9	false
